RELATIVISTIC
TRANSPORT CROSS SECTIONS
in units of a0**2
a0**2 = 2.8002852E-21 m**2

Atomic number: 34

No, Energy,Transport cross section
, eV,a0**2
187, 139526.75,  6.025006E-4
188, 140276.62,  5.971964E-4
189, 141026.5,  5.919683E-4
190, 141776.38,  5.868149E-4
191, 142526.25,  5.817346E-4
192, 143276.12,  5.767260E-4
193, 144026,  5.717878E-4
194, 144775.88,  5.669186E-4
195, 145525.75,  5.621171E-4
196, 146275.62,  5.573820E-4
197, 147025.5,  5.527120E-4
198, 147775.38,  5.481059E-4
199, 148525.25,  5.435625E-4
200, 149275.12,  5.390807E-4
201, 150025,  5.346593E-4
202, 150774.88,  5.302972E-4
203, 151524.75,  5.259932E-4
204, 152274.62,  5.217464E-4
205, 153024.5,  5.175557E-4
206, 153774.38,  5.134200E-4
207, 154524.25,  5.093385E-4
208, 155274.12,  5.053101E-4
209, 156024,  5.013338E-4
210, 156773.88,  4.974087E-4
211, 157523.75,  4.935340E-4
212, 158273.62,  4.897088E-4
213, 159023.5,  4.859321E-4
214, 159773.38,  4.822032E-4
215, 160523.25,  4.785212E-4
216, 161273.12,  4.748853E-4
217, 162023,  4.712947E-4
218, 162772.88,  4.677486E-4
219, 163522.75,  4.642463E-4
220, 164272.62,  4.607870E-4
221, 165022.5,  4.573700E-4
222, 165772.38,  4.539947E-4
223, 166522.25,  4.506602E-4
224, 167272.12,  4.473660E-4
225, 168022,  4.441113E-4
226, 168771.88,  4.408955E-4
227, 169521.75,  4.377180E-4
228, 170271.62,  4.345781E-4
229, 171021.5,  4.314752E-4
230, 171771.38,  4.284088E-4
231, 172521.25,  4.253782E-4
232, 173271.12,  4.223828E-4
233, 174021,  4.194222E-4
234, 174770.88,  4.164957E-4
235, 175520.75,  4.136028E-4
236, 176270.62,  4.107430E-4
237, 177020.5,  4.079157E-4
238, 177770.38,  4.051205E-4
239, 178520.25,  4.023568E-4
240, 179270.12,  3.996242E-4
241, 180020,  3.969221E-4
242, 180769.88,  3.942502E-4
243, 181519.75,  3.916079E-4
244, 182269.62,  3.889947E-4
245, 183019.5,  3.864104E-4
246, 183769.38,  3.838543E-4
247, 184519.25,  3.813261E-4
248, 185269.12,  3.788254E-4
249, 186019,  3.763518E-4
250, 186768.88,  3.739048E-4
251, 187518.75,  3.714840E-4
252, 188268.62,  3.690891E-4
253, 189018.5,  3.667198E-4
254, 189768.38,  3.643755E-4
255, 190518.25,  3.620559E-4
256, 191268.12,  3.597608E-4
257, 192018,  3.574897E-4
258, 192767.88,  3.552423E-4
259, 193517.75,  3.530182E-4
260, 194267.62,  3.508171E-4
261, 195017.5,  3.486387E-4
262, 195767.38,  3.464827E-4
263, 196517.25,  3.443487E-4
264, 197267.12,  3.422365E-4
265, 198017,  3.401457E-4
266, 198766.88,  3.380760E-4
267, 199516.75,  3.360272E-4
268, 200266.62,  3.339989E-4
269, 201016.5,  3.319909E-4
270, 201766.38,  3.300029E-4
271, 202516.25,  3.280345E-4
272, 203266.12,  3.260856E-4
273, 204016,  3.241559E-4
274, 204765.88,  3.222451E-4
275, 205515.75,  3.203530E-4
276, 206265.62,  3.184793E-4
277, 207015.5,  3.166237E-4
278, 207765.38,  3.147860E-4
279, 208515.25,  3.129661E-4
280, 209265.12,  3.111635E-4
281, 210015,  3.093782E-4
282, 210764.88,  3.076098E-4
283, 211514.75,  3.058583E-4
284, 212264.62,  3.041232E-4
285, 213014.5,  3.024045E-4
286, 213764.38,  3.007019E-4
287, 214514.25,  2.990152E-4
288, 215264.12,  2.973442E-4
289, 216014,  2.956887E-4
290, 216763.88,  2.940485E-4
291, 217513.75,  2.924234E-4
292, 218263.62,  2.908132E-4
293, 219013.5,  2.892178E-4
294, 219763.38,  2.876369E-4
295, 220513.25,  2.860703E-4
296, 221263.12,  2.845179E-4
297, 222013,  2.829795E-4
298, 222762.88,  2.814549E-4
299, 223512.75,  2.799439E-4
300, 224262.62,  2.784465E-4
301, 225012.5,  2.769623E-4
302, 225762.38,  2.754913E-4
303, 226512.25,  2.740333E-4
304, 227262.12,  2.725882E-4
305, 228012,  2.711556E-4
306, 228761.88,  2.697357E-4
307, 229511.75,  2.683280E-4
308, 230261.62,  2.669327E-4
309, 231011.5,  2.655493E-4
310, 231761.38,  2.641779E-4
311, 232511.25,  2.628183E-4
312, 233261.12,  2.614704E-4
313, 234011,  2.601339E-4
314, 234760.88,  2.588088E-4
315, 235510.75,  2.574950E-4
316, 236260.62,  2.561922E-4
317, 237010.5,  2.549005E-4
318, 237760.38,  2.536196E-4
319, 238510.25,  2.523494E-4
320, 239260.12,  2.510898E-4
321, 240010,  2.498406E-4
322, 240759.88,  2.486019E-4
323, 241509.75,  2.473733E-4
324, 242259.62,  2.461549E-4
325, 243009.5,  2.449465E-4
326, 243759.38,  2.437480E-4
327, 244509.25,  2.425593E-4
328, 245259.12,  2.413802E-4
329, 246009,  2.402107E-4
330, 246758.88,  2.390506E-4
331, 247508.75,  2.378999E-4
332, 248258.62,  2.367584E-4
333, 249008.5,  2.356261E-4
334, 249758.38,  2.345028E-4
335, 250508.25,  2.333884E-4
336, 251258.12,  2.322829E-4
337, 252008,  2.311861E-4
338, 252757.88,  2.300979E-4
339, 253507.75,  2.290183E-4
340, 254257.62,  2.279472E-4
341, 255007.5,  2.268844E-4
342, 255757.38,  2.258299E-4
343, 256507.25,  2.247836E-4
344, 257257.12,  2.237454E-4
345, 258007,  2.227152E-4
346, 258756.88,  2.216929E-4
347, 259506.75,  2.206784E-4
348, 260256.62,  2.196717E-4
349, 261006.5,  2.186727E-4
350, 261756.38,  2.176813E-4
351, 262506.25,  2.166974E-4
352, 263256.12,  2.157209E-4
353, 264006,  2.147517E-4
354, 264755.88,  2.137899E-4
355, 265505.75,  2.128352E-4
356, 266255.62,  2.118877E-4
357, 267005.5,  2.109472E-4
358, 267755.38,  2.100137E-4
359, 268505.25,  2.090872E-4
360, 269255.12,  2.081674E-4
361, 270005,  2.072544E-4
362, 270754.88,  2.063481E-4
