RELATIVISTIC
TRANSPORT CROSS SECTIONS
in units of a0**2
a0**2 = 2.8002852E-21 m**2

Atomic number: 6

No, Energy,Transport cross section
, eV,a0**2
187, 139526.75,  2.118000E-5
188, 140276.62,  2.098791E-5
189, 141026.5,  2.079865E-5
190, 141776.38,  2.061216E-5
191, 142526.25,  2.042837E-5
192, 143276.12,  2.024724E-5
193, 144026,  2.006871E-5
194, 144775.88,  1.989273E-5
195, 145525.75,  1.971926E-5
196, 146275.62,  1.954824E-5
197, 147025.5,  1.937963E-5
198, 147775.38,  1.921338E-5
199, 148525.25,  1.904944E-5
200, 149275.12,  1.888777E-5
201, 150025,  1.872834E-5
202, 150774.88,  1.857108E-5
203, 151524.75,  1.841598E-5
204, 152274.62,  1.826298E-5
205, 153024.5,  1.811204E-5
206, 153774.38,  1.796314E-5
207, 154524.25,  1.781622E-5
208, 155274.12,  1.767126E-5
209, 156024,  1.752822E-5
210, 156773.88,  1.738706E-5
211, 157523.75,  1.724775E-5
212, 158273.62,  1.711026E-5
213, 159023.5,  1.697455E-5
214, 159773.38,  1.684060E-5
215, 160523.25,  1.670837E-5
216, 161273.12,  1.657783E-5
217, 162023,  1.644895E-5
218, 162772.88,  1.632171E-5
219, 163522.75,  1.619607E-5
220, 164272.62,  1.607201E-5
221, 165022.5,  1.594950E-5
222, 165772.38,  1.582851E-5
223, 166522.25,  1.570902E-5
224, 167272.12,  1.559100E-5
225, 168022,  1.547442E-5
226, 168771.88,  1.535928E-5
227, 169521.75,  1.524553E-5
228, 170271.62,  1.513315E-5
229, 171021.5,  1.502213E-5
230, 171771.38,  1.491244E-5
231, 172521.25,  1.480406E-5
232, 173271.12,  1.469697E-5
233, 174021,  1.459114E-5
234, 174770.88,  1.448656E-5
235, 175520.75,  1.438321E-5
236, 176270.62,  1.428106E-5
237, 177020.5,  1.418010E-5
238, 177770.38,  1.408030E-5
239, 178520.25,  1.398166E-5
240, 179270.12,  1.388415E-5
241, 180020,  1.378775E-5
242, 180769.88,  1.369245E-5
243, 181519.75,  1.359822E-5
244, 182269.62,  1.350506E-5
245, 183019.5,  1.341294E-5
246, 183769.38,  1.332186E-5
247, 184519.25,  1.323179E-5
248, 185269.12,  1.314271E-5
249, 186019,  1.305462E-5
250, 186768.88,  1.296750E-5
251, 187518.75,  1.288133E-5
252, 188268.62,  1.279610E-5
253, 189018.5,  1.271180E-5
254, 189768.38,  1.262840E-5
255, 190518.25,  1.254591E-5
256, 191268.12,  1.246430E-5
257, 192018,  1.238356E-5
258, 192767.88,  1.230368E-5
259, 193517.75,  1.222465E-5
260, 194267.62,  1.214645E-5
261, 195017.5,  1.206907E-5
262, 195767.38,  1.199251E-5
263, 196517.25,  1.191674E-5
264, 197267.12,  1.184175E-5
265, 198017,  1.176755E-5
266, 198766.88,  1.169411E-5
267, 199516.75,  1.162142E-5
268, 200266.62,  1.154948E-5
269, 201016.5,  1.147826E-5
270, 201766.38,  1.140777E-5
271, 202516.25,  1.133800E-5
272, 203266.12,  1.126892E-5
273, 204016,  1.120054E-5
274, 204765.88,  1.113284E-5
275, 205515.75,  1.106582E-5
276, 206265.62,  1.099946E-5
277, 207015.5,  1.093376E-5
278, 207765.38,  1.086870E-5
279, 208515.25,  1.080428E-5
280, 209265.12,  1.074049E-5
281, 210015,  1.067732E-5
282, 210764.88,  1.061476E-5
283, 211514.75,  1.055281E-5
284, 212264.62,  1.049145E-5
285, 213014.5,  1.043068E-5
286, 213764.38,  1.037050E-5
287, 214514.25,  1.031088E-5
288, 215264.12,  1.025183E-5
289, 216014,  1.019334E-5
290, 216763.88,  1.013540E-5
291, 217513.75,  1.007800E-5
292, 218263.62,  1.002114E-5
293, 219013.5,  9.964807E-6
294, 219763.38,  9.908999E-6
295, 220513.25,  9.853706E-6
296, 221263.12,  9.798923E-6
297, 222013,  9.744643E-6
298, 222762.88,  9.690860E-6
299, 223512.75,  9.637568E-6
300, 224262.62,  9.584759E-6
301, 225012.5,  9.532429E-6
302, 225762.38,  9.480571E-6
303, 226512.25,  9.429179E-6
304, 227262.12,  9.378248E-6
305, 228012,  9.327772E-6
306, 228761.88,  9.277745E-6
307, 229511.75,  9.228162E-6
308, 230261.62,  9.179017E-6
309, 231011.5,  9.130305E-6
310, 231761.38,  9.082021E-6
311, 232511.25,  9.034159E-6
312, 233261.12,  8.986715E-6
313, 234011,  8.939683E-6
314, 234760.88,  8.893058E-6
315, 235510.75,  8.846837E-6
316, 236260.62,  8.801013E-6
317, 237010.5,  8.755582E-6
318, 237760.38,  8.710539E-6
319, 238510.25,  8.665880E-6
320, 239260.12,  8.621601E-6
321, 240010,  8.577696E-6
322, 240759.88,  8.534162E-6
323, 241509.75,  8.490994E-6
324, 242259.62,  8.448188E-6
325, 243009.5,  8.405740E-6
326, 243759.38,  8.363645E-6
327, 244509.25,  8.321900E-6
328, 245259.12,  8.280500E-6
329, 246009,  8.239442E-6
330, 246758.88,  8.198721E-6
331, 247508.75,  8.158334E-6
332, 248258.62,  8.118278E-6
333, 249008.5,  8.078548E-6
334, 249758.38,  8.039140E-6
335, 250508.25,  8.000051E-6
336, 251258.12,  7.961278E-6
337, 252008,  7.922817E-6
338, 252757.88,  7.884664E-6
339, 253507.75,  7.846816E-6
340, 254257.62,  7.809270E-6
341, 255007.5,  7.772023E-6
342, 255757.38,  7.735070E-6
343, 256507.25,  7.698409E-6
344, 257257.12,  7.662037E-6
345, 258007,  7.625950E-6
346, 258756.88,  7.590146E-6
347, 259506.75,  7.554621E-6
348, 260256.62,  7.519372E-6
349, 261006.5,  7.484396E-6
350, 261756.38,  7.449691E-6
351, 262506.25,  7.415253E-6
352, 263256.12,  7.381080E-6
353, 264006,  7.347169E-6
354, 264755.88,  7.313517E-6
355, 265505.75,  7.280121E-6
356, 266255.62,  7.246979E-6
357, 267005.5,  7.214087E-6
358, 267755.38,  7.181444E-6
359, 268505.25,  7.149047E-6
360, 269255.12,  7.116892E-6
361, 270005,  7.084978E-6
362, 270754.88,  7.053303E-6
363, 271504.75,  7.021863E-6
364, 272254.62,  6.990656E-6
365, 273004.5,  6.959680E-6
366, 273754.38,  6.928932E-6
367, 274504.25,  6.898411E-6
368, 275254.12,  6.868113E-6
369, 276004,  6.838037E-6
370, 276753.88,  6.808180E-6
371, 277503.75,  6.778540E-6
372, 278253.62,  6.749115E-6
373, 279003.5,  6.719903E-6
374, 279753.38,  6.690901E-6
375, 280503.25,  6.662108E-6
376, 281253.12,  6.633521E-6
377, 282003,  6.605139E-6
378, 282752.88,  6.576959E-6
379, 283502.75,  6.548979E-6
380, 284252.62,  6.521197E-6
381, 285002.5,  6.493612E-6
382, 285752.38,  6.466222E-6
383, 286502.25,  6.439023E-6
384, 287252.12,  6.412016E-6
385, 288002,  6.385197E-6
386, 288751.88,  6.358566E-6
387, 289501.75,  6.332119E-6
388, 290251.62,  6.305857E-6
389, 291001.5,  6.279775E-6
390, 291751.38,  6.253874E-6
391, 292501.25,  6.228150E-6
392, 293251.12,  6.202604E-6
393, 294001,  6.177232E-6
394, 294750.88,  6.152033E-6
395, 295500.75,  6.127005E-6
396, 296250.62,  6.102148E-6
397, 297000.5,  6.077458E-6
398, 297750.38,  6.052936E-6
399, 298500.25,  6.028578E-6
400, 299250.12,  6.004384E-6
401, 300000,  5.980353E-6
