RELATIVISTIC
TRANSPORT CROSS SECTIONS
in units of a0**2
a0**2 = 2.8002852E-21 m**2

Atomic number: 14

No, Energy,Transport cross section
, eV,a0**2
187, 139526.75,  1.072437E-4
188, 140276.62,  1.062790E-4
189, 141026.5,  1.053284E-4
190, 141776.38,  1.043916E-4
191, 142526.25,  1.034683E-4
192, 143276.12,  1.025583E-4
193, 144026,  1.016613E-4
194, 144775.88,  1.007770E-4
195, 145525.75,  9.990530E-5
196, 146275.62,  9.904583E-5
197, 147025.5,  9.819838E-5
198, 147775.38,  9.736274E-5
199, 148525.25,  9.653867E-5
200, 149275.12,  9.572595E-5
201, 150025,  9.492438E-5
202, 150774.88,  9.413373E-5
203, 151524.75,  9.335382E-5
204, 152274.62,  9.258443E-5
205, 153024.5,  9.182538E-5
206, 153774.38,  9.107647E-5
207, 154524.25,  9.033752E-5
208, 155274.12,  8.960835E-5
209, 156024,  8.888879E-5
210, 156773.88,  8.817864E-5
211, 157523.75,  8.747776E-5
212, 158273.62,  8.678597E-5
213, 159023.5,  8.610311E-5
214, 159773.38,  8.542903E-5
215, 160523.25,  8.476357E-5
216, 161273.12,  8.410657E-5
217, 162023,  8.345790E-5
218, 162772.88,  8.281740E-5
219, 163522.75,  8.218493E-5
220, 164272.62,  8.156037E-5
221, 165022.5,  8.094357E-5
222, 165772.38,  8.033439E-5
223, 166522.25,  7.973272E-5
224, 167272.12,  7.913842E-5
225, 168022,  7.855137E-5
226, 168771.88,  7.797145E-5
227, 169521.75,  7.739854E-5
228, 170271.62,  7.683252E-5
229, 171021.5,  7.627329E-5
230, 171771.38,  7.572072E-5
231, 172521.25,  7.517471E-5
232, 173271.12,  7.463515E-5
233, 174021,  7.410195E-5
234, 174770.88,  7.357499E-5
235, 175520.75,  7.305417E-5
236, 176270.62,  7.253940E-5
237, 177020.5,  7.203058E-5
238, 177770.38,  7.152762E-5
239, 178520.25,  7.103042E-5
240, 179270.12,  7.053889E-5
241, 180020,  7.005295E-5
242, 180769.88,  6.957250E-5
243, 181519.75,  6.909747E-5
244, 182269.62,  6.862776E-5
245, 183019.5,  6.816330E-5
246, 183769.38,  6.770401E-5
247, 184519.25,  6.724980E-5
248, 185269.12,  6.680060E-5
249, 186019,  6.635633E-5
250, 186768.88,  6.591692E-5
251, 187518.75,  6.548230E-5
252, 188268.62,  6.505239E-5
253, 189018.5,  6.462712E-5
254, 189768.38,  6.420643E-5
255, 190518.25,  6.379024E-5
256, 191268.12,  6.337850E-5
257, 192018,  6.297113E-5
258, 192767.88,  6.256807E-5
259, 193517.75,  6.216926E-5
260, 194267.62,  6.177464E-5
261, 195017.5,  6.138414E-5
262, 195767.38,  6.099771E-5
263, 196517.25,  6.061529E-5
264, 197267.12,  6.023683E-5
265, 198017,  5.986226E-5
266, 198766.88,  5.949153E-5
267, 199516.75,  5.912458E-5
268, 200266.62,  5.876137E-5
269, 201016.5,  5.840184E-5
270, 201766.38,  5.804594E-5
271, 202516.25,  5.769362E-5
272, 203266.12,  5.734482E-5
273, 204016,  5.699951E-5
274, 204765.88,  5.665763E-5
275, 205515.75,  5.631914E-5
276, 206265.62,  5.598399E-5
277, 207015.5,  5.565213E-5
278, 207765.38,  5.532352E-5
279, 208515.25,  5.499811E-5
280, 209265.12,  5.467587E-5
281, 210015,  5.435675E-5
282, 210764.88,  5.404070E-5
283, 211514.75,  5.372770E-5
284, 212264.62,  5.341769E-5
285, 213014.5,  5.311064E-5
286, 213764.38,  5.280650E-5
287, 214514.25,  5.250525E-5
288, 215264.12,  5.220684E-5
289, 216014,  5.191124E-5
290, 216763.88,  5.161840E-5
291, 217513.75,  5.132830E-5
292, 218263.62,  5.104090E-5
293, 219013.5,  5.075616E-5
294, 219763.38,  5.047405E-5
295, 220513.25,  5.019454E-5
296, 221263.12,  4.991759E-5
297, 222013,  4.964317E-5
298, 222762.88,  4.937125E-5
299, 223512.75,  4.910180E-5
300, 224262.62,  4.883478E-5
301, 225012.5,  4.857017E-5
302, 225762.38,  4.830793E-5
303, 226512.25,  4.804805E-5
304, 227262.12,  4.779048E-5
305, 228012,  4.753519E-5
306, 228761.88,  4.728217E-5
307, 229511.75,  4.703139E-5
308, 230261.62,  4.678281E-5
309, 231011.5,  4.653640E-5
310, 231761.38,  4.629215E-5
311, 232511.25,  4.605003E-5
312, 233261.12,  4.581001E-5
313, 234011,  4.557207E-5
314, 234760.88,  4.533617E-5
315, 235510.75,  4.510231E-5
316, 236260.62,  4.487045E-5
317, 237010.5,  4.464056E-5
318, 237760.38,  4.441263E-5
319, 238510.25,  4.418664E-5
320, 239260.12,  4.396255E-5
321, 240010,  4.374035E-5
322, 240759.88,  4.352002E-5
323, 241509.75,  4.330153E-5
324, 242259.62,  4.308487E-5
325, 243009.5,  4.287001E-5
326, 243759.38,  4.265692E-5
327, 244509.25,  4.244560E-5
328, 245259.12,  4.223602E-5
329, 246009,  4.202816E-5
330, 246758.88,  4.182200E-5
331, 247508.75,  4.161752E-5
332, 248258.62,  4.141471E-5
333, 249008.5,  4.121354E-5
334, 249758.38,  4.101400E-5
335, 250508.25,  4.081606E-5
336, 251258.12,  4.061971E-5
337, 252008,  4.042494E-5
338, 252757.88,  4.023172E-5
339, 253507.75,  4.004004E-5
340, 254257.62,  3.984987E-5
341, 255007.5,  3.966122E-5
342, 255757.38,  3.947404E-5
343, 256507.25,  3.928834E-5
344, 257257.12,  3.910410E-5
345, 258007,  3.892129E-5
346, 258756.88,  3.873991E-5
347, 259506.75,  3.855994E-5
348, 260256.62,  3.838135E-5
349, 261006.5,  3.820415E-5
350, 261756.38,  3.802831E-5
351, 262506.25,  3.785382E-5
352, 263256.12,  3.768066E-5
353, 264006,  3.750882E-5
354, 264755.88,  3.733829E-5
355, 265505.75,  3.716905E-5
356, 266255.62,  3.700110E-5
357, 267005.5,  3.683440E-5
358, 267755.38,  3.666896E-5
359, 268505.25,  3.650476E-5
360, 269255.12,  3.634178E-5
361, 270005,  3.618002E-5
362, 270754.88,  3.601946E-5
363, 271504.75,  3.586008E-5
364, 272254.62,  3.570189E-5
365, 273004.5,  3.554486E-5
366, 273754.38,  3.538898E-5
367, 274504.25,  3.523424E-5
368, 275254.12,  3.508063E-5
369, 276004,  3.492814E-5
370, 276753.88,  3.477675E-5
371, 277503.75,  3.462646E-5
372, 278253.62,  3.447726E-5
373, 279003.5,  3.432913E-5
374, 279753.38,  3.418206E-5
375, 280503.25,  3.403604E-5
376, 281253.12,  3.389107E-5
377, 282003,  3.374712E-5
378, 282752.88,  3.360420E-5
379, 283502.75,  3.346229E-5
380, 284252.62,  3.332138E-5
381, 285002.5,  3.318146E-5
382, 285752.38,  3.304252E-5
383, 286502.25,  3.290456E-5
384, 287252.12,  3.276755E-5
385, 288002,  3.263150E-5
386, 288751.88,  3.249640E-5
387, 289501.75,  3.236223E-5
388, 290251.62,  3.222899E-5
389, 291001.5,  3.209666E-5
390, 291751.38,  3.196524E-5
391, 292501.25,  3.183472E-5
392, 293251.12,  3.170509E-5
393, 294001,  3.157635E-5
394, 294750.88,  3.144848E-5
395, 295500.75,  3.132147E-5
396, 296250.62,  3.119533E-5
397, 297000.5,  3.107003E-5
398, 297750.38,  3.094558E-5
399, 298500.25,  3.082196E-5
400, 299250.12,  3.069916E-5
401, 300000,  3.057719E-5
